alpha,beta,CL,CD,CS
-3.98,0,-0.120651613470836,0.0741625449274806,-0.030765586505228
-0.98,0,0.0808687282719287,0.0549779355523012,0.015782786345714186
1.02,0,0.2457992908449506,0.0507036472440778,0.05458628003759029
4.02,0,0.4709216262371115,0.05133751014382,0.1061980948014079
7.02,0,0.687430187474846,0.0669046388828624,0.15832327085669406
10.02,0,0.8764876001560128,0.0830208322055827,0.20482594854306516
13.02,0,1.0531989039103666,0.109466860137388,0.24987448497081463
15.02,0,1.1614404438295856,0.1296414919360238,0.27737726705466637
17.02,0,1.2624674234679254,0.15002663446452,0.30406493824261815
18.02,0,1.3105660689104623,0.1607831052464972,0.31670436925487705
19.02,0,1.1318428211683926,0.2014153046047684,0.30174171783598536
21.02,0,1.1524468435344233,0.2242019354734947,0.31687550726683256
23.02,0,1.1524468435344233,0.2242019354734947,0.31687550726683256
25.02,0,1.1654979996191608,0.2824340329428802,0.33726562177308944
