alpha,beta,CL,CL_ci,CD,CD_ci,CS,CS_ci,CMx,CMx_ci,CMy,CMy_ci,CMz,CMz_ci
7.4,-20.06967097810398,0.5949368425725245,0.008234734043883463,0.15710445204051812,0.0071261418883712775,-0.15278890800113742,0.0075326960116639825,-0.191393952230682,0.0206605482579867,0.0463592512483183,0.0245891439657729,0.16570556732592,0.0200190479434163
7.4,-14.055749608545222,0.6602005321439218,0.009246099577927706,0.12374582441395846,0.00655716878552286,-0.12225925403836052,0.007964601163419505,-0.131121480058249,0.0247788801712464,0.075075406567912,0.0290313947534853,0.152348486437813,0.0224683794608092
7.4,-12.066092440592415,0.672648731210827,0.010074072998692991,0.07987448022883836,0.008590795976052059,-0.14494115196968047,0.00926570446750787,-0.111790587348626,0.0281526210087169,0.109341625326426,0.0322417207807955,0.117967884353484,0.024820647792327
7.4,-10.062936511029717,0.6695629134069206,0.008494128499317506,0.05966730143852399,0.007702084150810559,-0.13802017791799615,0.007691709688046926,-0.11531456196539,0.0230730488567689,0.153524585402958,0.0259855061451968,0.0794540999758721,0.0201267162170107
7.4,-8.061124974652081,0.6895214002120356,0.008314101858238478,0.0729956578487773,0.006859145478365002,-0.13404746686275468,0.008790330639600956,-0.103324482115289,0.0257073633232543,0.143504749230256,0.0251704283371763,0.0309422079572412,0.0223519242517593
7.4,-6.041376711237635,0.7105526931071183,0.009716208458656436,0.0827811963419711,0.009706842656497268,-0.0907393967864435,0.009852101729020346,-0.0476484703171734,0.0310197884772034,0.109682737659949,0.0306652572236721,0.0428315576854291,0.0266028260762533
7.4,-4.0165684102139965,0.7217468418027099,0.009802980348252877,0.07583804340948125,0.008362627455804957,-0.03633463133147699,0.01040113797653662,-0.00604873986583867,0.0309297266088827,0.112774592805229,0.0298535261773921,0.0756482360895149,0.0261381805459764
7.4,-1.999608002892078,0.7332408273273048,0.009867067249760114,0.07104079418019768,0.008123537114374198,0.0008596522065417511,0.012096747107211162,0.0238095458688023,0.0405790415891151,0.103695982281641,0.0300960933682534,0.0654059361030183,0.0320414766050908
7.4,0.005740408516664398,0.7430356350927991,0.009465755795905533,0.08664306372317211,0.009633413459228232,0.01258875320269827,0.008899862430882434,0.0312824340278635,0.0266562268673516,0.0563725541445889,0.0308395985679497,-0.0178991263350178,0.0229903897494152
7.4,2.016420607264102,0.7348563400464782,0.0099575476045116,0.07418298317765336,0.009980227379242508,0.03601049850130377,0.009295878497760613,0.0509299191634235,0.0300635476985495,0.0909660112533123,0.0333446137477178,-0.0588874441105653,0.0250116952474219
7.4,4.036280786669062,0.7317017269223207,0.010287333769808631,0.08803185699393108,0.011533515012585604,0.07956400107251654,0.009145596888956775,0.0796672528293347,0.0295656675844108,0.0671420063210583,0.0332311471027174,-0.0545447413304381,0.0242251241008468
7.4,6.054418167981162,0.7228201073779846,0.009525120894749618,0.07793190227606928,0.008821223580565718,0.11933939622399921,0.009102552608680946,0.114670409091567,0.0281880433094167,0.095786578091486,0.0300898049027311,-0.0550603775403192,0.0231460160099671
7.4,8.074018771961468,0.7044362487871086,0.008836147724992027,0.06496555066552083,0.010019058244179643,0.16232364820111655,0.009516869276370759,0.17174197389078,0.027429505422169,0.126402697072863,0.0295414198050813,-0.0407294684935893,0.0225037059237232
7.4,10.067194687004351,0.6994023602633075,0.00986281672938972,0.10539468050277191,0.008684339581520727,0.14735838551815378,0.009334528547714256,0.180450114889867,0.0293961345534674,0.093834205269117,0.0275597074016877,-0.0925951212761219,0.0267132882985438
7.4,12.056488407445709,0.6857410285359967,0.010910792784959747,0.11162330899582171,0.009754172410802408,0.12387944483099428,0.009973477260409147,0.161889922861261,0.028468862451389,0.079624985988166,0.0311990313315471,-0.158435736770246,0.0263178289495393
7.4,14.069055350847615,0.676104359442622,0.009437547938543237,0.12681970754294236,0.008464465230573676,0.15143883342495817,0.008770438579244635,0.191858003416566,0.0263736144010071,0.0408546259604319,0.0280034992645738,-0.132728187066144,0.0237457762178958
7.4,20.076573745159017,0.6332186794908031,0.009726209786985181,0.17164493542918002,0.009182779307659636,0.16792672103645495,0.006746875836130379,0.214936707271901,0.0191649135373765,-0.0307748052946715,0.0248670100021428,-0.144832324470976,0.019101845225027
